BLDGSUIT,BLDGID,BLDGNAME,SUITID,OCCPNAME,SUITSQFT,SUITETYPE_MRI,RANK,SQFTTYPE,UPDATED_SUITE_TYPE
P460119,P460,460 Totten Pond,119,Conference Center,0,,1,GLA,OTHER
P460118,P460,460 Totten Pond,118,Fitness Center,0,,1,GLA,OTHER
P460115,P460,460 Totten Pond,115,Rebeccas,0,,1,GLA,OFF
P460116,P460,460 Totten Pond,116,Maintenance Office,0,,1,GLA,OTHER
P410400,P410,410 Totten Pond,400,"Lewtan Technologies, Inc.",0,,1,GLA,OFF
P400130,P400,400 Totten PondRoad,130,PMG Design. Inc.,0,,1,GLA,OFF
P410350,P410,410 Totten Pond,350,"SDL, Inc.",0,,1,GLA,OFF
P460630,P460,460 Totten Pond,630,"Cytel, Inc.",0,,1,GLA,OFF
BLK001C5-B,BLK001,Blakeney Retail,C5-B,Blue Basil,2280,,1,GLA,RET
NW1041185,NW1041,NW SIMMONS BUILDING LP,185,"Broker Solutions, Inc.",5931,,1,RSF,OFF
NW1042225,NW1042,NW HIXON BUILDING LP,225,Waste Management of the Caroli,7344,,1,RSF,OFF
NW0076500,NW0076,NW CALHOUN BUILDING LP,500,Public Financial Management,9887,,1,RSF,OFF
BLK0019876B,BLK001,Blakeney Retail,9876B,"Marshall's of MA, Inc. #536",55000,,1,GLA,RET
PKLN02510,PKLN02,Park Lane - 8080 Office,510,"CBRE, Inc.",0,,1,GLA,OFF
BLK0019876C,BLK001,Blakeney Retail,9876C,"Old Navy, LLC",15408,,1,GLA,RET
NWCENTGround,NWCENT,NW CENTENNIAL LLC,Ground,2001 EAST EASTER AVENUE LLC,0,,1,GLA,
60FRST100,60FRST,NW Cambridge Holdings,100,"Sears, Roebuck & Co.",120311,,1,GLA,RET
BLK0019876A,BLK001,Blakeney Retail,9876A,"Off Broadway Shoes, Inc.",18000,,1,GLA,RET
NRG001S-LCageE,NRG001,NW Northgate Mall LLC,S-LCageE,Dharmesh Lakhani,0,RETL,1,GLA,RET
NRG00274,NRG002,Northgate Shops,74,Planet Fitness,0,RETL,1,GLA,RET
NW0073350,NW0073,NW JJH BUILDING LP,350,Siemens Corporation,5958,,1,RSF,OFF
FFV001O-U209D,FFV001,Freshfields Village,O-U209D,Tommy Bahama R&R Holdings,0,STRG,1,GLA,STG
NW1041450,NW1041,NW SIMMONS BUILDING LP,450,XPO Logistics LLC,6615,,1,RSF,OFF
NW0071650,NW0071,NW IRBY BUILDING LP,650,"MCube Financial, LLC",3904,,1,RSF,OFF
NRG001DECK 2,NRG001,NW Northgate Mall LLC,DECK 2,Federal Parking (VA),0,RETL,1,GLA,PRK
FFV001R-I100,FFV001,Freshfields Village,R-I100,Vineyard Vines Retail LLC,0,,1,GLA,RET
NW1003140,NW1003,NW BRIXHAM GREEN THREE LP,140,Somnoware Healthcare Systems,1925,,1,RSF,OFF
DMN001Y2.138,DMN001,Domain Northside Retail,Y2.138,Paige,1641,RETL,1,GLA,RET
P2004020,P200,NWALP PHOP Property Owner LLC,4020,"Apellis Pharmaceuticals, Inc.",0,,1,GLA,OFF
DMN001W2.162,DMN001,Domain Northside Retail,W2.162,Cariloha,1500,RETL,1,GLA,RET
NW1011202,NW1011,NW BALLANTYNE ONE LP,202,"Robert W. Baird & Co., Incorporated",2755,,1,RSF,OFF
FFV001R-U110,FFV001,Freshfields Village,R-U110,Bluemercury,0,,1,GLA,RET
FFV001R-Q105,FFV001,Freshfields Village,R-Q105,Timbers Resorts,0,,1,GLA,RET
PKLN05B108,PKLN05,Park Lane - Blk B2/C/DF Retail,B108,Select Comfort Retail Corporat,0,,1,GLA,RET
NW15082,NW1508,149-151 Pearl Street Owner LLC,2,Touloukian Touloukian Inc.,1600,,1,RSF,OFF
NW0073600,NW0073,NW JJH BUILDING LP,600,Network Services Company,7749,,1,RSF,OFF
NW15083F,NW1508,149-151 Pearl Street Owner LLC,3F,"Touloukian Touloukian, Inc.",900,,1,RSF,OFF
PKLN01400,PKLN01,Park Lane - 8070 Office,400,Curtainwall Design Consulting,0,,1,GLA,OFF
BLK001C1-A,BLK001,Blakeney Retail,C1-A,Harmony Salon,2973,,1,GLA,RET
PKLN068110,PKLN06,Park Lane - Blk E Retail,8110,The Galleries at Park Lane,0,,1,GLA,RET
PKLN06E165,PKLN06,Park Lane - Blk E Retail,E165,Vitaliv Infusion Therapies LLC,0,,1,GLA,RET
DMN001C11.174,DMN001,Domain Northside Retail,C11.174,"B8ta, Inc.",3085,RETL,1,GLA,RET
PWP001122A,PWP001,Prestonwood Place,122A,GolfTec,0,RETL,1,GLA,RET
NW0076250,NW0076,NW CALHOUN BUILDING LP,250,"Movement Mortgage, LLC",5296,,1,RSF,OFF
NW1018155,NW1018,NW RICHARDSON BUILDING LP,155,"George Mason Mortgage, LLC",2633,,1,RSF,OFF
NW15037701,NW1503,NW 230 Congress Street Propert,7701,"JIBO, INC.",12632,,1,RSF,OFF
NW1040500,NW1040,NW CHANDLER BUILDING LP,500,CorVel Healthcare Corporation,25520,,1,RSF,OFF
NW0021F100,NW0021,NW OFFICES ON SIX LP,F100,Accrisoft Corporation,3090,,1,RSF,OFF
WAVE01A103,WAVE01,Waverly Place,A103,Tasu Asian Bistro,3395,RETL,1,GLA,RET
P1004010,P100,NWALP PHOP Property Owner LLC,4010,"Assuricare, LLC",0,,1,GLA,OFF
DMN001W3.116,DMN001,Domain Northside Retail,W3.116,Origins,1000,RETL,1,GLA,RET
DMN001C11.140,DMN001,Domain Northside Retail,C11.140,Kunik Orthodontics,1331,RETL,1,GLA,RET
FFV003A-101,FFV003,Freshfields Village Expansion,A-101,Cantina 76,0,RETL,1,GLA,RET
DMN001D1.142,DMN001,Domain Northside Retail,D1.142,Drybar Holdings LLC,1600,RETL,1,GLA,RET
PKLN05CX130,PKLN05,Park Lane - Blk B2/C/DF Retail,CX130,DSW Shoe Warehouse Inc.,0,,1,GLA,RET
WAVE01D205,WAVE01,Waverly Place,D205,BodyLase Med Spa,2452,RETL,1,GLA,RET
PKLN05CX340,PKLN05,Park Lane - Blk B2/C/DF Retail,CX340,DSW Show Warehouse Inc.,0,,1,GLA,RET
NW1001475,NW1001,NW BRIXHAM GREEN ONE LP,475,"Sentinel Risk Advisors, LLC",3250,,1,RSF,OFF
BLK001C6-A,BLK001,Blakeney Retail,C6-A,Bluemercury,2119,,1,GLA,RET
BLK001C1-D,BLK001,Blakeney Retail,C1-D,"Banana Republic, LLC 8488",9265,,1,GLA,RET
NW1001175,NW1001,NW BRIXHAM GREEN ONE LP,175,"Stealth Components, Inc.",5259,,1,RSF,OFF
CRS001F5-B,CRS001,Blakeney Crossing,F5-B,"Sport Clips, Inc.",1060,,1,GLA,RET
FFV001R-U111B,FFV001,Freshfields Village,R-U111B,Bluemercury (add'l space),0,,1,GLA,RET
NW1042200,NW1042,NW HIXON BUILDING LP,200,Hartford Fire Insurance Comp,7611,,1,RSF,OFF
NRG001R-125,NRG001,NW Northgate Mall LLC,R-125,Jimmy Jazz,0,RETL,1,GLA,RET
NW1018175,NW1018,NW RICHARDSON BUILDING LP,175,"Inspiredge IT Solutions, LLC",1677,,1,RSF,OFF
FFV001Mobile1,FFV001,Freshfields Village,Mobile1,Jeni's Splendid Ice Cream,0,RETL,1,GLA,RET
BLK001C6-C,BLK001,Blakeney Retail,C6-C,Francesca's Collections,1200,,1,GLA,RET
PKLN05B110,PKLN05,Park Lane - Blk B2/C/DF Retail,B110,LaserAway,0,,1,GLA,RET
BLK001D6-A,BLK001,Blakeney Retail,D6-A,McAlister's Deli,3900,,1,GLA,RET
DMN001C6.154,DMN001,Domain Northside Retail,C6.154,Ace Tailors,1733,RETL,1,GLA,RET
NW0021B100,NW0021,NW OFFICES ON SIX LP,B100,Adams & Presson Company,700,,1,RSF,OFF
NW0076450,NW0076,NW CALHOUN BUILDING LP,450,"Credit Karma, Inc.",8556,,1,RSF,OFF
DMN001X1.110,DMN001,Domain Northside Retail,X1.110,CB2,11204,RETL,1,GLA,RET
DMN001V1.100,DMN001,Domain Northside Retail,V1.100,"Hat Creek Domain, LLC",3231,RETL,1,GLA,RET
PKLN02400,PKLN02,Park Lane - 8080 Office,400,Nobilis Health Marketing,0,,1,GLA,OFF
WAVE01A104,WAVE01,Waverly Place,A104,Gonza Taco's y Tequila,4317,RETL,1,GLA,RET
NW1041115,NW1041,NW SIMMONS BUILDING LP,115,"Alloy Wealth, Inc.",1751,,1,RSF,OFF
NW0071260,NW0071,NW IRBY BUILDING LP,260,Parrish and Partners of South,5485,,1,RSF,OFF
NW1025150,NW1025,NW HALL BUILDING LP,150,Ferolie Corporation,5764,,1,RSF,OFF
HSV001358,HSV001,Hillside Village,358,PlayTri,4910,RETL,1,GLA,RET
PKLN02550,PKLN02,Park Lane - 8080 Office,550,Nobilis Health Marketing,0,,1,GLA,OFF
PWP001142,PWP001,Prestonwood Place,142,Vernon's Gastropub,0,RETL,1,GLA,RET
NW15084,NW1508,149-151 Pearl Street Owner LLC,4,"WAAV, Inc.",1600,,1,RSF,OFF
NW15211000A,NW1521,NW Franklin Park LLC,1000A,"CKE Restaurant Holdings, Inc.",5459,,1,RSF,OFF
NW1521900,NW1521,NW Franklin Park LLC,900,"CKE Restaurant Holdings, Inc.",17170,,1,RSF,OFF
NW15211000,NW1521,NW Franklin Park LLC,1000,"CKE Restaurant Holdings, Inc.",23941,,1,RSF,OFF
NW1521190,NW1521,NW Franklin Park LLC,190,"CKE Restaurant Holdings, Inc.",732,,1,RSF,OFF
NW1521950,NW1521,NW Franklin Park LLC,950,"CKE Restaurant Holdings, Inc.",12701,,1,RSF,OFF
BLK001C7-A1,BLK001,Blakeney Retail,C7-A1,Lizard Thicket,3765,,1,GLA,RET
DMN001X4.160,DMN001,Domain Northside Retail,X4.160,Velvet Taco,2900,RETL,1,GLA,RET
NW0076275,NW0076,NW CALHOUN BUILDING LP,275,Meritage Homes of the Carolina,3289,,1,RSF,OFF
P200200-10B,P200,NWALP PHOP Property Owner LLC,200-10B,TCG New Jersey,0,,1,GLA,OTHER
BLK001C6-H,BLK001,Blakeney Retail,C6-H,"Creative by Nature Home, LLC",2656,,1,GLA,RET
PWP001132,PWP001,Prestonwood Place,132,Momo's Pasta,0,RETL,1,GLA,RET
P200LL-T,P200,NWALP PHOP Property Owner LLC,LL-T,TCG New Jersey,0,,1,GLA,OTHER
FFV001R-O100,FFV001,Freshfields Village,R-O100,Ladles Homemade  Soup,0,,1,GLA,RET
P460480,P460,460 Totten Pond,480,"Onwards Media Group, Inc.",0,,1,GLA,OFF
CV00011400,CV0001,100 Broadway,1400,Emerald Expositions LLC,17117,OFF,1,RSF,OFF
DMN001C11.160,DMN001,Domain Northside Retail,C11.160,Will Leather Goods,0,RETL,1,GLA,RET
FFV001O-Q205,FFV001,Freshfields Village,O-Q205,"Timbers Kiawah Development, LLC",0,,1,GLA,OFF
DMN001Y3.100,DMN001,Domain Northside Retail,Y3.100,"Sprinkles Cupcakes TX, LLC",1669,RETL,1,GLA,RET
DMN002500,DMN002,Domain Northside Office,500,"Atkins North America, Inc.",31071,RETL,1,GLA,OFF
DMN001Y3.150,DMN001,Domain Northside Retail,Y3.150,Joi Sushi and Fried Chicken,3263,RETL,1,GLA,RET
NRG00280,NRG002,Northgate Shops,80,Gurley Medical Supply,0,RETL,1,GLA,RET
NRG002S-1,NRG002,Northgate Shops,S-1,Gurley Medical Supply Store,0,RETL,1,GLA,RET
DMN002450,DMN002,Domain Northside Office,450,"Atkins North America, Inc.",7126,RETL,1,GLA,OFF
DMN001Y3.170,DMN001,Domain Northside Retail,Y3.170,Cyclone Anaya's Mexican Kitchen,4081,RETL,1,GLA,RET
PWP001100A,PWP001,Prestonwood Place,100A,Frito Lay/SMART Learning,0,RETL,1,GLA,RET
NW1018100,NW1018,NW RICHARDSON BUILDING LP,100,"Filters Fast, LLC",2139,,1,RSF,OFF
NW1026325,NW1026,NW FRENETTE BUILDING LP,325,"ReachLocal, Inc.",1651,,1,RSF,OFF
FFV001R-D100,FFV001,Freshfields Village,R-D100,Coastal Footwear,0,,1,GLA,RET
HSV001PKescrow,HSV001,Hillside Village,PKescrow,PKL Lease,0,,1,GLA,
NRG001S-LCageO,NRG001,NW Northgate Mall LLC,S-LCageO,Greek Cuisine,0,RETL,1,GLA,RET
P200STOR-03,P200,NWALP PHOP Property Owner LLC,STOR-03,Gentle Communications,0,,1,GLA,STG
BLK001C7-G1,BLK001,Blakeney Retail,C7-G1,White House Black Market Inc.,3525,,1,GLA,RET
HSV001405,HSV001,Hillside Village,405,"Twinrose Investments, LLC",0,RETL,1,GLA,RET
HSV001344,HSV001,Hillside Village,344,Salon Suites at Hillside Village,7140,RETL,1,GLA,RET
NRG001R-252,NRG001,NW Northgate Mall LLC,R-252,Friends of Durham Co,0,RETL,1,GLA,RET
NRG001S-LCageD,NRG001,NW Northgate Mall LLC,S-LCageD,Dharmesh Lakhani,0,RETL,1,GLA,RET
NRG001K-30&31,NRG001,NW Northgate Mall LLC,K-30&31,Bounce House/Animal Rides,0,RETL,1,GLA,RET
BLK001C7-D2,BLK001,Blakeney Retail,C7-D2,Enlighten Yoga,2384,,1,GLA,RET
P1005020,P100,NWALP PHOP Property Owner LLC,5020,"ARM, Inc.",0,,1,GLA,OFF
CV00020640,CV0002,1180 Avenue of the Americas,640,"Theatrical Rights Worldwide, LLC",7564,OFF,1,RSF,OFF
PWP001118,PWP001,Prestonwood Place,118,Cafe Gecko,0,RETL,1,GLA,RET
NW1041500,NW1041,NW SIMMONS BUILDING LP,500,TIME WARNER CABLE SOUTHEAST,25498,,1,RSF,OFF
NRG001R-235,NRG001,NW Northgate Mall LLC,R-235,Measurement Inc.,0,RETL,1,GLA,RET
P100LL-R,P100,NWALP PHOP Property Owner LLC,LL-R,"RCN-BecoCom, LLC",0,,1,GLA,OTHER
DMN001Y3.160,DMN001,Domain Northside Retail,Y3.160,Taverna Domain Austin LP,3263,RETL,1,GLA,RET
BLK001C7-F2,BLK001,Blakeney Retail,C7-F2,Sola Salons,4617,,1,GLA,RET
NW0021B250,NW0021,NW OFFICES ON SIX LP,B250,"Biznuvo, Inc.",1481,,1,RSF,OFF
DMN002200,DMN002,Domain Northside Office,200,WeWork,30985,RETL,1,GLA,OFF
DMN002300,DMN002,Domain Northside Office,300,WeWork,30984,RETL,1,GLA,OFF
CV00010700,CV0001,100 Broadway,700,Polaris Management Partners LLC,18375,OFF,1,RSF,OFF
BLK001C6-D,BLK001,Blakeney Retail,C6-D,Hazelnuts Creperie,985,,1,GLA,RET
P460410,P460,460 Totten Pond,410,"Cutler, P.C.",0,,1,GLA,OFF
NW1040225,NW1040,NW CHANDLER BUILDING LP,225,"COMPUTER SERVICES, INC",3958,,1,RSF,OFF
P460280,P460,460 Totten Pond,280,"SOS Security, LLC",0,,1,GLA,OFF
DMN001STOR-4,DMN001,Domain Northside Retail,STOR-4,The Body Shop,0,STRG,1,GLA,STG
DMN001Y2.100,DMN001,Domain Northside Retail,Y2.100,C.C Filson Co.,2885,RETL,1,GLA,RET
NRG001R-614,NRG001,NW Northgate Mall LLC,R-614,Revolve Church,0,RETL,1,GLA,RET
P300LL-S,P300,NWALP PHOP Property Owner LLC,LL-S,Lightower Fiber Network,0,,1,GLA,OTHER
NRG001R-106,NRG001,NW Northgate Mall LLC,R-106,MakerLab(Durham County Library),0,RETL,1,GLA,RET
P300LL-S2,P300,NWALP PHOP Property Owner LLC,LL-S2,Lightower Fiber Network,0,,1,GLA,OTHER
DMN002400,DMN002,Domain Northside Office,400,"Aristocrat Technologies, Inc.",24412,RETL,1,GLA,OFF
NRG001K-45,NRG001,NW Northgate Mall LLC,K-45,APS,0,RETL,1,GLA,RET
DMN001U2.100,DMN001,Domain Northside Retail,U2.100,24 Diner,6000,RETL,1,GLA,RET
PKLN05CX305,PKLN05,Park Lane - Blk B2/C/DF Retail,CX305,AAA Texas,0,,1,GLA,RET
DMN001U2.118,DMN001,Domain Northside Retail,U2.118,Orangetheory Fitness,2309,RETL,1,GLA,RET
PKLN07110-8018,PKLN07,Park Lane - Blk A Retail,110-8018,I Love Juice Bar,0,,1,GLA,RET
DMN001Z2.110,DMN001,Domain Northside Retail,Z2.110,Free People of PA LLC,5626,RETL,1,GLA,RET
HSV001200,HSV001,Hillside Village,200,Manny's Uptown Lakewood Tex-Mex,3838,RETL,1,GLA,RET
DMN001Y4.100,DMN001,Domain Northside Retail,Y4.100,Culinary Dropout,5000,RETL,1,GLA,RET
NW0031120,NW0031,NW MEDICAL TWO LP,120,"Tara Howell, D.M.D., P.L.L.C.",2031,,1,RSF,OFF
DMN001Y2.120,DMN001,Domain Northside Retail,Y2.120,"Austin STAG Domain, LLC",3045,RETL,1,GLA,RET
DMN001Y4.120,DMN001,Domain Northside Retail,Y4.120,Flower Child,3433,RETL,1,GLA,RET
DMN001Y3.130,DMN001,Domain Northside Retail,Y3.130,Paul Martin's American Grill,6018,RETL,1,GLA,RET
DMN001STOR-3,DMN001,Domain Northside Retail,STOR-3,"Suit Supply Austin, Inc.",0,STRG,1,GLA,STG
P460390,P460,460 Totten Pond,390,"Glytec, LLC",0,,1,GLA,OFF
DMN001C9.138,DMN001,Domain Northside Retail,C9.138,"Suit Supply (U.S.A.), Inc.",3000,RETL,1,GLA,RET
FFV003B-100,FFV003,Freshfields Village Expansion,B-100,"Fuji Sushi Bar & Grill, LLC",0,RETL,1,GLA,RET
FFV001O-D200,FFV001,Freshfields Village,O-D200,"Gamble Home Services, Inc.",0,,1,GLA,OFF
NW0075575,NW0075,NW EVERETT BUILDING LP,575,Independent Advisors Alliance,5296,,1,RSF,OFF
NRG001R-720,NRG001,NW Northgate Mall LLC,R-720,AB Fitness,0,RETL,1,GLA,RET
NW1018125,NW1018,NW RICHARDSON BUILDING LP,125,"HANCOCK FOREST MANAGEMENT, INC",4092,,1,RSF,OFF
NW0076400,NW0076,NW CALHOUN BUILDING LP,400,Sentry Insurance a Mutual Comp,7712,,1,RSF,OFF
PKLN07A115,PKLN07,Park Lane - Blk A Retail,A115,Eddie Bauer,0,,1,GLA,RET
DMN001C11.164,DMN001,Domain Northside Retail,C11.164,Peloton,3510,RETL,1,GLA,RET
DMN001Z3.170,DMN001,Domain Northside Retail,Z3.170,St. Bernard Sports,12000,RETL,1,GLA,RET
CRS001F6-D,CRS001,Blakeney Crossing,F6-D,NC Velo LLC,3835,,1,GLA,RET
PKLN05C342,PKLN05,Park Lane - Blk B2/C/DF Retail,C342,Torrid,0,,1,GLA,RET
DMN001Z2.166,DMN001,Domain Northside Retail,Z2.166,"Evereve, Inc",2280,RETL,1,GLA,RET
P460360,P460,460 Totten Pond,360,"Littelfuse, Inc.",0,,1,GLA,OFF
DMN001U2.124,DMN001,Domain Northside Retail,U2.124,"Jose Luis Salon Domain, LLC",3098,RETL,1,GLA,RET
NRG001K-Wall2,NRG001,NW Northgate Mall LLC,K-Wall2,Mini Melts (CTM),0,RETL,1,GLA,RET
NRG001K-Wall1,NRG001,NW Northgate Mall LLC,K-Wall1,Mini Melts (CTM),0,RETL,1,GLA,RET
NRG001K-26,NRG001,NW Northgate Mall LLC,K-26,Photo Booth (HMH Enterprises),0,RETL,1,GLA,RET
DMN001C11.190,DMN001,Domain Northside Retail,C11.190,Mitchell Gold & Bob Williams,12355,RETL,1,GLA,RET
CV00020002,CV0002,1180 Avenue of the Americas,2,Lighttower Fiber Netowrks,0,OTHR,1,RSF,OTHER
DMN001W2.136,DMN001,Domain Northside Retail,W2.136,Scout & Molly's,1300,RETL,1,GLA,RET
DMN001Z2.122,DMN001,Domain Northside Retail,Z2.122,"Francesca's Collections, Inc.",1200,RETL,1,GLA,RET
DMN001Y2.114,DMN001,Domain Northside Retail,Y2.114,"Warby Parker Retail, Inc.",1691,RETL,1,GLA,RET
NW15035501,NW1503,NW 230 Congress Street Propert,5501,AT&T Corp.,4841,,1,RSF,OFF
PKLN01250,PKLN01,Park Lane - 8070 Office,250,Waldrop Nichols Studio LLC,0,,1,GLA,OFF
NW1003270,NW1003,NW BRIXHAM GREEN THREE LP,270,Syntelli Solutions Inc,668,,1,RSF,OFF
PKLN05C349,PKLN05,Park Lane - Blk B2/C/DF Retail,C349,Sprint Spectrum L.P.,0,,1,GLA,RET
NRG001R-840,NRG001,NW Northgate Mall LLC,R-840,Gracie Durham Academy,0,RETL,1,GLA,RET
NW1017425,NW1017,NW CULLMAN PARK LP,425,"SVS, LLC",4989,,1,RSF,OFF
NW15033302,NW1503,NW 230 Congress Street Propert,3302,AT&T Corp.,3800,,1,RSF,OFF
NW15034401,NW1503,NW 230 Congress Street Propert,4401,AT&T Corp.,11300,,1,RSF,OFF
NW1041125,NW1041,NW SIMMONS BUILDING LP,125,Woodforest National Bank,4595,,1,RSF,OFF
BLK001C4-C,BLK001,Blakeney Retail,C4-C,Five Guys Burgers & Fries,2392,,1,GLA,RET
NW1003300,NW1003,NW BRIXHAM GREEN THREE LP,300,Meritage Homes of the Carolina,11383,,1,RSF,OFF
DMN001Z3.116,DMN001,Domain Northside Retail,Z3.116,"Paper Source, Inc.",2628,RETL,1,GLA,RET
DMN001Z1.150,DMN001,Domain Northside Retail,Z1.150,"SoulCycle Austin Domain, LLC",3267,RETL,1,GLA,RET
DMN001Z3.100,DMN001,Domain Northside Retail,Z3.100,Kiehl's,846,RETL,1,GLA,RET
DMN001Y2.110,DMN001,Domain Northside Retail,Y2.110,"Bonobos, Inc.",1514,RETL,1,GLA,RET
DMN001V1.122,DMN001,Domain Northside Retail,V1.122,Engel & Volkers Austin,1637,RETL,1,GLA,RET
DMN001W3.100,DMN001,Domain Northside Retail,W3.100,"W3LL PEOPLE, LLC",1000,RETL,1,GLA,RET
DMN001C11.168,DMN001,Domain Northside Retail,C11.168,"Marine Layer, Inc",800,RETL,1,GLA,RET
DMN001W2.114,DMN001,Domain Northside Retail,W2.114,Everything But Water,1200,RETL,1,GLA,RET
DMN001W2.126,DMN001,Domain Northside Retail,W2.126,Lush Cosmetics LLC,1500,RETL,1,GLA,RET
DMN001D1.500,DMN001,Domain Northside Retail,D1.500,"Nordstrom, Inc",127000,RETL,1,GLA,RET
DMN001Z2.130,DMN001,Domain Northside Retail,Z2.130,"Sephora USA, Inc.",5500,RETL,1,GLA,RET
DMN001Z2.104,DMN001,Domain Northside Retail,Z2.104,Diptyque Domain LLC,517,RETL,1,GLA,RET
DMN001Z2.162,DMN001,Domain Northside Retail,Z2.162,"Hanna Andersson, LLC",1700,RETL,1,GLA,RET
DMN001X6.100,DMN001,Domain Northside Retail,X6.100,It'Sugar,1800,RETL,1,GLA,RET
DMN001Z1.130,DMN001,Domain Northside Retail,Z1.130,"Sur La Table, Inc.",5800,RETL,1,GLA,RET
DMN001C11.150,DMN001,Domain Northside Retail,C11.150,The Frye Company,1655,RETL,1,GLA,RET
DMN001C11.154,DMN001,Domain Northside Retail,C11.154,The Frye Company,2831,RETL,1,GLA,RET
NW1042250,NW1042,NW HIXON BUILDING LP,250,American Financial Resources,10908,,1,RSF,OFF
DMN001Y1.100,DMN001,Domain Northside Retail,Y1.100,"Restoration Hardware, Inc.",56000,RETL,1,GLA,RET
NRG001O-231,NRG001,NW Northgate Mall LLC,O-231,Leon Parker (HVAC Contractor),0,RETL,1,GLA,OFF
CV00020201,CV0002,1180 Avenue of the Americas,201,"Transpacific Financial, Inc.",1300,OFF,1,RSF,OFF
CV000100B03,CV0001,100 Broadway,00B03,RCN Telecom Services of NY,0,OTHR,1,RSF,OTHER
NW1508Base-R,NW1508,149-151 Pearl Street Owner LLC,Base-R,"Ofavorito.Com, Inc.",800,,1,RSF,RET
NW0031150,NW0031,NW MEDICAL TWO LP,150,"CHAR.GASTRO & HEPATOLOGY, PLLC",2365,,1,RSF,OFF
FFV001R-T102,FFV001,Freshfields Village,R-T102,Island Mercantile,0,,1,GLA,RET
DMN014HOTEL,DMN014,Domain Retail D Blk D PGCA Inc,HOTEL,Austin LW Hotel Associates L.P,0,,1,GLA,
PKLN02725,PKLN02,Park Lane - 8080 Office,725,Condon Thornton Harrell Malik,0,,1,GLA,OFF
FFV001R-Q103,FFV001,Freshfields Village,R-Q103,GDC Home Interiors,0,,1,GLA,RET
DMN001Z1.170,DMN001,Domain Northside Retail,Z1.170,"Design Within Reach, Inc.",12000,RETL,1,GLA,RET
BLK001B3-A,BLK001,Blakeney Retail,B3-A,Carriage Fine Dry Cleaning Inc,1200,,1,GLA,RET
NRG001O-302,NRG001,NW Northgate Mall LLC,O-302,DC Movers,0,RETL,1,GLA,OFF
NW1011100,NW1011,NW BALLANTYNE ONE LP,100,Southeast Psychological Servic,5406,,1,RSF,OFF
NW1011150,NW1011,NW BALLANTYNE ONE LP,150,Southeast Psychological Servic,2537,,1,RSF,OFF
NW1018105-A,NW1018,NW RICHARDSON BUILDING LP,105-A,"NAVEX Global, Inc.",200,,1,RSF,OFF
NRG001R-638,NRG001,NW Northgate Mall LLC,R-638,NY Silver,0,RETL,1,GLA,RET
NRG001S-STG I,NRG001,NW Northgate Mall LLC,S-STG I,Merec Cleaning,0,RETL,1,GLA,RET
FFV001R-D101,FFV001,Freshfields Village,R-D101,"Tres Carmen, LLC",0,,1,GLA,RET
NW0071420,NW0071,NW IRBY BUILDING LP,420,Delta Dental of North Carolina,2895,,1,RSF,OFF
NRG001R-140,NRG001,NW Northgate Mall LLC,R-140,Esmeralda's Cafe,0,RETL,1,GLA,RET
BLK001B2-A,BLK001,Blakeney Retail,B2-A,VIP Nails,2316,,1,GLA,RET
BLK001D6-B,BLK001,Blakeney Retail,D6-B,GNC #7991,1604,,1,GLA,RET
BLK001B3-C,BLK001,Blakeney Retail,B3-C,Great Clips,1116,,1,GLA,RET
WAVE01D214,WAVE01,Waverly Place,D214,CorePower Yoga,4983,RETL,1,GLA,RET
PWP001103,PWP001,Prestonwood Place,103,Little Greek Restaurant,0,RETL,1,GLA,RET
WAVE01D106,WAVE01,Waverly Place,D106,The Joint,1722,RETL,1,GLA,RET
NW1017340,NW1017,NW CULLMAN PARK LP,340,"EIG Services, Inc.",2148,,1,RSF,OFF
BLK001E7-E,BLK001,Blakeney Retail,E7-E,Springfree Trampoline USA Inc.,1196,,1,GLA,RET
NW0073525,NW0073,NW JJH BUILDING LP,525,Siemens Corporation,4860,,1,RSF,OFF
NW0073BASEMT,NW0073,NW JJH BUILDING LP,BASEMT,"BOB, LLC",0,,1,RSF,OFF
NW0073300,NW0073,NW JJH BUILDING LP,300,Siemens Corporation,17618,,1,RSF,OFF
NW0073375,NW0073,NW JJH BUILDING LP,375,Siemens Corporation,1779,,1,RSF,OFF
NW0073520,NW0073,NW JJH BUILDING LP,520,Siemens Corporation,3578,,1,RSF,OFF
NW0071625,NW0071,NW IRBY BUILDING LP,625,"Infinisource Holdings, Inc.",3921,,1,RSF,OFF
FFV001R-P103,FFV001,Freshfields Village,R-P103,Kiawah Nail Studio,0,,1,GLA,RET
NW0073330,NW0073,NW JJH BUILDING LP,330,Siemens Corporation,0,,1,RSF,OFF
BLK001C4-E,BLK001,Blakeney Retail,C4-E,Greco Fresh Grill,1192,,1,GLA,RET
FFV003N-102,FFV003,Freshfields Village Expansion,N-102,"Dolittle's of Kiawah, LC",0,RETL,1,GLA,RET
NW0071500,NW0071,NW IRBY BUILDING LP,500,"TD Bank, N.A.",12586,,1,RSF,OFF
BLK001C6-G,BLK001,Blakeney Retail,C6-G,Waxhaw Candle Company,895,,1,GLA,RET
DMN001X4.146,DMN001,Domain Northside Retail,X4.146,Salvation Pizza,2200,RETL,1,GLA,RET
P2001020,P200,NWALP PHOP Property Owner LLC,1020,American Heart Association,0,,1,GLA,OFF
NW1018200,NW1018,NW RICHARDSON BUILDING LP,200,Securitas Security Services US,31004,,1,RSF,OFF
